input_file,size,num_processors,elapsed_time
test_data/input_4M_7.txt, 4194304, 32, 0.417637
test_data/input_4M_7.txt, 4194304, 128, 0.404455
test_data/input_4M_7.txt, 4194304, 256, 0.389354
test_data/input_4M_8.txt, 4194304, 2, 0.421419
test_data/input_4M_8.txt, 4194304, 4, 0.41161
test_data/input_4M_8.txt, 4194304, 8, 0.443399
test_data/input_4M_8.txt, 4194304, 16, 0.434553
test_data/input_4M_8.txt, 4194304, 32, 0.416931
test_data/input_4M_8.txt, 4194304, 128, 0.428847
test_data/input_4M_8.txt, 4194304, 256, 0.388354
test_data/input_4M_9.txt, 4194304, 2, 0.433292
test_data/input_4M_9.txt, 4194304, 4, 0.407435
test_data/input_4M_9.txt, 4194304, 8, 0.450529
test_data/input_4M_9.txt, 4194304, 16, 0.429142
test_data/input_4M_9.txt, 4194304, 32, 0.405122
test_data/input_4M_9.txt, 4194304, 128, 0.427452
test_data/input_4M_9.txt, 4194304, 256, 0.399064
test_data/input_4M_10.txt, 4194304, 2, 0.442853
test_data/input_4M_10.txt, 4194304, 4, 0.409836
test_data/input_4M_10.txt, 4194304, 8, 0.432072
test_data/input_4M_10.txt, 4194304, 16, 0.43452
test_data/input_4M_10.txt, 4194304, 32, 0.409005
test_data/input_4M_10.txt, 4194304, 128, 0.404673
test_data/input_4M_10.txt, 4194304, 256, 0.393593
test_data/input_8M_1.txt, 8388608, 2, 0.738119
test_data/input_8M_1.txt, 8388608, 4, 0.706286
test_data/input_8M_1.txt, 8388608, 8, 0.704878
test_data/input_8M_1.txt, 8388608, 16, 0.693582
test_data/input_8M_1.txt, 8388608, 32, 0.66515
test_data/input_8M_1.txt, 8388608, 128, 0.672583
test_data/input_8M_1.txt, 8388608, 256, 0.683502
test_data/input_8M_2.txt, 8388608, 2, 0.721486
test_data/input_8M_2.txt, 8388608, 4, 0.697935
test_data/input_8M_2.txt, 8388608, 8, 0.708634
test_data/input_8M_2.txt, 8388608, 16, 0.701111
test_data/input_8M_2.txt, 8388608, 32, 0.66341
test_data/input_8M_2.txt, 8388608, 128, 0.672074
test_data/input_8M_2.txt, 8388608, 256, 0.67796
test_data/input_8M_3.txt, 8388608, 2, 0.735841
test_data/input_8M_3.txt, 8388608, 4, 0.707593
test_data/input_8M_3.txt, 8388608, 8, 0.710158
test_data/input_8M_3.txt, 8388608, 16, 0.705947
test_data/input_8M_3.txt, 8388608, 32, 0.662857
test_data/input_8M_3.txt, 8388608, 128, 0.676859
test_data/input_8M_3.txt, 8388608, 256, 0.682429
test_data/input_8M_4.txt, 8388608, 2, 0.727302
test_data/input_8M_4.txt, 8388608, 4, 0.705224
test_data/input_8M_4.txt, 8388608, 8, 0.698205
test_data/input_8M_4.txt, 8388608, 16, 0.699952
test_data/input_8M_4.txt, 8388608, 32, 0.662737
test_data/input_8M_4.txt, 8388608, 128, 0.676517
test_data/input_8M_4.txt, 8388608, 256, 0.683801
test_data/input_8M_5.txt, 8388608, 2, 0.734624
test_data/input_8M_5.txt, 8388608, 4, 0.701902
test_data/input_8M_5.txt, 8388608, 8, 0.693846
test_data/input_8M_5.txt, 8388608, 16, 0.699658
test_data/input_8M_5.txt, 8388608, 32, 0.665577
test_data/input_8M_5.txt, 8388608, 128, 0.681196
test_data/input_8M_5.txt, 8388608, 256, 0.692176
test_data/input_8M_6.txt, 8388608, 2, 0.729806
test_data/input_8M_6.txt, 8388608, 4, 0.693444
test_data/input_8M_6.txt, 8388608, 8, 0.700018
test_data/input_8M_6.txt, 8388608, 16, 0.702858
test_data/input_8M_6.txt, 8388608, 32, 0.663788
test_data/input_8M_6.txt, 8388608, 128, 0.676124
test_data/input_8M_6.txt, 8388608, 256, 0.679715
test_data/input_8M_7.txt, 8388608, 2, 0.899613
test_data/input_8M_7.txt, 8388608, 4, 0.882314
test_data/input_8M_7.txt, 8388608, 8, 0.859604
test_data/input_8M_7.txt, 8388608, 16, 0.875676
test_data/input_8M_7.txt, 8388608, 32, 0.891007
test_data/input_8M_7.txt, 8388608, 128, 0.918775
test_data/input_8M_7.txt, 8388608, 256, 0.798179
test_data/input_8M_8.txt, 8388608, 2, 0.897344
test_data/input_8M_8.txt, 8388608, 4, 0.890776
test_data/input_8M_8.txt, 8388608, 8, 0.910624
test_data/input_8M_8.txt, 8388608, 16, 0.872835
test_data/input_8M_8.txt, 8388608, 32, 0.87618
test_data/input_8M_8.txt, 8388608, 128, 0.855248
test_data/input_8M_8.txt, 8388608, 256, 0.807411
test_data/input_8M_9.txt, 8388608, 2, 0.853052
test_data/input_8M_9.txt, 8388608, 4, 0.841104
test_data/input_8M_9.txt, 8388608, 8, 0.870212
test_data/input_8M_9.txt, 8388608, 16, 0.852956
test_data/input_8M_9.txt, 8388608, 32, 0.919696
test_data/input_8M_9.txt, 8388608, 128, 0.896382
test_data/input_8M_9.txt, 8388608, 256, 0.80908
test_data/input_8M_10.txt, 8388608, 2, 0.909701
test_data/input_8M_10.txt, 8388608, 4, 0.847117
test_data/input_8M_10.txt, 8388608, 8, 0.893185
test_data/input_8M_10.txt, 8388608, 16, 0.860741
test_data/input_8M_10.txt, 8388608, 32, 0.928684
test_data/input_8M_10.txt, 8388608, 128, 0.894199
test_data/input_8M_10.txt, 8388608, 256, 0.826782
test_data/input_16M_1.txt, 16777216, 2, 1.51568
test_data/input_16M_1.txt, 16777216, 4, 1.44482
test_data/input_16M_1.txt, 16777216, 8, 1.45504
test_data/input_16M_1.txt, 16777216, 16, 1.46296
test_data/input_16M_1.txt, 16777216, 32, 1.47886
test_data/input_16M_1.txt, 16777216, 128, 1.42168
test_data/input_16M_1.txt, 16777216, 256, 1.44906
test_data/input_16M_2.txt, 16777216, 2, 1.51552
test_data/input_16M_2.txt, 16777216, 4, 1.4513
test_data/input_16M_2.txt, 16777216, 8, 1.44034
test_data/input_16M_2.txt, 16777216, 16, 1.47753
test_data/input_16M_2.txt, 16777216, 32, 1.47143
test_data/input_16M_2.txt, 16777216, 128, 1.4196
test_data/input_16M_2.txt, 16777216, 256, 1.46864
test_data/input_16M_3.txt, 16777216, 2, 1.48324
test_data/input_16M_3.txt, 16777216, 4, 1.44989
test_data/input_16M_3.txt, 16777216, 8, 1.43256
test_data/input_16M_3.txt, 16777216, 16, 1.46598
test_data/input_16M_3.txt, 16777216, 32, 1.46987
test_data/input_16M_3.txt, 16777216, 128, 1.42708
test_data/input_16M_3.txt, 16777216, 256, 1.45527
test_data/input_16M_4.txt, 16777216, 2, 1.49972
test_data/input_16M_4.txt, 16777216, 4, 1.45851
test_data/input_16M_4.txt, 16777216, 8, 1.45096
test_data/input_16M_4.txt, 16777216, 16, 1.48079
test_data/input_16M_4.txt, 16777216, 32, 1.47783
test_data/input_16M_4.txt, 16777216, 128, 1.42467
test_data/input_16M_4.txt, 16777216, 256, 1.45912
test_data/input_16M_5.txt, 16777216, 2, 1.51148
test_data/input_16M_5.txt, 16777216, 4, 1.4494
test_data/input_16M_5.txt, 16777216, 8, 1.43376
test_data/input_16M_5.txt, 16777216, 16, 1.48457
test_data/input_16M_5.txt, 16777216, 32, 1.46344
test_data/input_16M_5.txt, 16777216, 128, 1.4443
test_data/input_16M_5.txt, 16777216, 256, 1.47534
test_data/input_16M_6.txt, 16777216, 2, 1.51662
test_data/input_16M_6.txt, 16777216, 4, 1.43921
test_data/input_16M_6.txt, 16777216, 8, 1.44264
test_data/input_16M_6.txt, 16777216, 16, 1.47636
test_data/input_16M_6.txt, 16777216, 32, 1.47145
test_data/input_16M_6.txt, 16777216, 128, 1.44234
test_data/input_16M_6.txt, 16777216, 256, 1.45518
test_data/input_16M_7.txt, 16777216, 2, 1.50267
test_data/input_16M_7.txt, 16777216, 4, 1.45729
test_data/input_16M_7.txt, 16777216, 8, 1.46685
test_data/input_16M_7.txt, 16777216, 16, 1.46931
test_data/input_16M_7.txt, 16777216, 32, 1.50148
test_data/input_16M_7.txt, 16777216, 128, 1.42764
test_data/input_16M_7.txt, 16777216, 256, 1.43133
test_data/input_16M_8.txt, 16777216, 2, 1.48715
test_data/input_16M_8.txt, 16777216, 4, 1.44273
test_data/input_16M_8.txt, 16777216, 8, 1.45943
test_data/input_16M_8.txt, 16777216, 16, 1.46095
test_data/input_16M_8.txt, 16777216, 32, 1.47632
test_data/input_16M_8.txt, 16777216, 128, 1.4269
test_data/input_16M_8.txt, 16777216, 256, 1.45879
test_data/input_16M_9.txt, 16777216, 2, 1.97519
test_data/input_16M_9.txt, 16777216, 4, 1.90345
test_data/input_16M_9.txt, 16777216, 8, 1.83624
test_data/input_16M_9.txt, 16777216, 16, 1.7711
test_data/input_16M_9.txt, 16777216, 32, 1.7326
test_data/input_16M_9.txt, 16777216, 128, 1.85598
test_data/input_16M_9.txt, 16777216, 256, 1.56863
test_data/input_16M_10.txt, 16777216, 2, 1.82458
test_data/input_16M_10.txt, 16777216, 4, 1.75531
test_data/input_16M_10.txt, 16777216, 8, 1.93829
test_data/input_16M_10.txt, 16777216, 16, 1.76668
test_data/input_16M_10.txt, 16777216, 32, 1.90446
test_data/input_16M_10.txt, 16777216, 128, 1.66108
test_data/input_16M_10.txt, 16777216, 256, 1.6274
test_data/input_32M_1.txt, 33554432, 2, 3.23964
test_data/input_32M_1.txt, 33554432, 4, 3.09341
test_data/input_32M_1.txt, 33554432, 8, 3.29502
test_data/input_32M_1.txt, 33554432, 16, 3.18914
test_data/input_32M_1.txt, 33554432, 32, 3.23305
test_data/input_32M_1.txt, 33554432, 128, 3.21483
test_data/input_32M_1.txt, 33554432, 256, 3.41225
test_data/input_32M_2.txt, 33554432, 2, 3.17932
test_data/input_32M_2.txt, 33554432, 4, 3.07151
test_data/input_32M_2.txt, 33554432, 8, 3.31137
test_data/input_32M_2.txt, 33554432, 16, 3.22631
