input_file,number_keys,num_processors,elapsed_time
test_data/input_16M_4.txt, 16777216, 128, 1.05855
test_data/input_16M_4.txt, 16777216, 256, 0.801054
test_data/input_16M_5.txt, 16777216, 2, 1.29599
test_data/input_16M_5.txt, 16777216, 4, 0.925495
test_data/input_16M_5.txt, 16777216, 8, 0.924554
test_data/input_16M_5.txt, 16777216, 16, 0.9744
test_data/input_16M_5.txt, 16777216, 32, 1.18945
test_data/input_16M_5.txt, 16777216, 64, 0.928442
test_data/input_16M_5.txt, 16777216, 128, 1.05286
test_data/input_16M_5.txt, 16777216, 256, 1.14739
test_data/input_16M_6.txt, 16777216, 2, 1.25385
test_data/input_16M_6.txt, 16777216, 4, 1.02447
test_data/input_16M_6.txt, 16777216, 8, 0.813761
test_data/input_16M_6.txt, 16777216, 16, 0.788719
test_data/input_16M_6.txt, 16777216, 32, 0.917221
test_data/input_16M_6.txt, 16777216, 64, 1.16308
test_data/input_16M_6.txt, 16777216, 128, 1.26791
test_data/input_16M_6.txt, 16777216, 256, 1.28183
test_data/input_16M_7.txt, 16777216, 2, 1.16559
test_data/input_16M_7.txt, 16777216, 4, 0.955728
test_data/input_16M_7.txt, 16777216, 8, 0.80919
test_data/input_16M_7.txt, 16777216, 16, 0.697963
test_data/input_16M_7.txt, 16777216, 32, 0.806189
test_data/input_16M_7.txt, 16777216, 64, 0.832395
test_data/input_16M_7.txt, 16777216, 128, 1.01273
test_data/input_16M_7.txt, 16777216, 256, 1.03504
test_data/input_16M_8.txt, 16777216, 2, 1.17183
test_data/input_16M_8.txt, 16777216, 4, 1.04053
test_data/input_16M_8.txt, 16777216, 8, 1.06102
test_data/input_16M_8.txt, 16777216, 16, 0.431659
test_data/input_16M_8.txt, 16777216, 32, 0.810375
test_data/input_16M_8.txt, 16777216, 64, 0.576864
test_data/input_16M_8.txt, 16777216, 128, 0.779687
test_data/input_16M_8.txt, 16777216, 256, 0.723808
test_data/input_16M_9.txt, 16777216, 2, 0.975037
test_data/input_16M_9.txt, 16777216, 4, 0.684013
test_data/input_16M_9.txt, 16777216, 8, 0.56792
test_data/input_16M_9.txt, 16777216, 16, 0.548553
test_data/input_16M_9.txt, 16777216, 32, 0.788822
test_data/input_16M_9.txt, 16777216, 64, 0.595495
test_data/input_16M_9.txt, 16777216, 128, 0.788353
test_data/input_16M_9.txt, 16777216, 256, 0.878985
test_data/input_16M_10.txt, 16777216, 2, 0.969254
test_data/input_16M_10.txt, 16777216, 4, 0.626564
test_data/input_16M_10.txt, 16777216, 8, 0.630259
test_data/input_16M_10.txt, 16777216, 16, 0.661305
test_data/input_16M_10.txt, 16777216, 32, 0.647334
test_data/input_16M_10.txt, 16777216, 64, 0.709588
test_data/input_16M_10.txt, 16777216, 128, 0.964351
test_data/input_16M_10.txt, 16777216, 256, 0.973886
test_data/input_32M_1.txt, 33554432, 2, 3.03075
